product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,review_title,img_link
B07GXPDLYQ,PRO365 Indo Mocktails/Coffee Foamer/Cappuccino/Lemonade/Milk Frother (6 Months Warranty),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,₹249,₹499,50%,3.3,"8,427","Working ok, but shape is not that good,Doesn’t froth and creates a mess,Very low power,Product is not working smoothly...after very hard press the button then it works.,Ok ok,Finally!,It would be nice if you give batteries along with product in this price. Thanks,Good",https://m.media-amazon.com/images/I/31MmLP6awML._SX300_SY300_QL70_FMwebp_.jpg
B01C8P29N0,"Bajaj DX-6 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White","Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",₹625,"₹1,400",55%,4.2,"23,316","Worth the money..,Good product,This is Good,Super product,Good product,Average product but value for money,For daily use,Heat temprature very slow",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31ke2NdHJ-L._SY300_SX300_QL70_FMwebp_.jpg
B08KDBLMQP,"Croma 500W Mixer Grinder with 3 Stainless Steel Leak-proof Jars, 3 speed & Pulse function, 2 years warranty (CRAK4184, White & Purple)",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,"₹1,290","₹2,500",48%,4,"6,530","Best products,Ok,Short Nd sweet product,Good,About warranty card,Good,Good 👍,It's affordable but cheap quality",https://m.media-amazon.com/images/I/41i1uzCEyWL._SX300_SY300_QL70_FMwebp_.jpg
B078JDNZJ8,Havells Instanio 3-Litre Instant Geyser (White/Blue),"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|InstantWaterHeaters","₹3,600","₹6,190",42%,4.3,"11,924","Worthy, best for bucket bathing:,Water heater that does the job right,Works as promised and the installation was quick..,All good,Good product.,Worthy product to buy.,Easy to install.,Nice product and good service",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31991seDfcL._SY300_SX300_QL70_FMwebp_.jpg
B01M5F614J,"Morphy Richards OFR Room Heater, 09 Fin 2000 Watts Oil Filled Room Heater , ISI Approved (OFR 9 Grey)","Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters","₹6,549","₹13,999",53%,4,"2,961","Good product and recommend too,Good Purchase,It cannot warm a room of less than 100 square feet,Fan not working,Awesome,Good 9 Fin Oil Filler Room Heater from Morphy Richards,Good product for health conscious people,Really good product, Screws are available under lower thermocol",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31HzCDKv6ZL._SX300_SY300_QL70_FMwebp_.jpg
B083GKDRKR,"Havells Aqua Plus 1.2 litre Double Wall Kettle / 304 Stainless Steel Inner Body / Cool touch outer body / Wider mouth/ 2 Year warranty (Black, 1500 Watt)",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|ElectricKettles,"₹1,625","₹2,995",46%,4.5,"23,484","Good product,Good Product,Very easy to use but my mom wanted a transparent one,Very good product,4 on 5,overall good,Nice,Elegant & Sturdy!",https://m.media-amazon.com/images/I/31S74o1sCSS._SY300_SX300_QL70_FMwebp_.jpg
B097R2V1W8,"Bajaj Splendora 3 Litre 3KW IWH Instant Water Heater (Geyser), White","Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|InstantWaterHeaters","₹2,599","₹5,890",56%,4.1,"21,783","Received used product requested replacement,Good product,Tiny bomb,Very nice,works well, but its a really small tank,Very good,Value for more,Instantly",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31zh7GQSkfL._SX300_SY300_QL70_FMwebp_.jpg
B07YR26BJ3,KENT 16052 Elegant Electric Glass Kettle 1.8L 2000 W | Blue LED Illumination | Borosilicate Glass Body | Boil Drying Protection | Used as Boiler | Milk | Tea | Water & Soup | 1 Year Warranty,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|Kettle&ToasterSets,"₹1,199","₹2,000",40%,4,"14,030","Great Design , Heating ,Usage ,Easy to clean but doesn't maintain the temperature for long,easy to use,Nice,Works well.,it is a good product time saving.,Good kettle at such price,Beautiful..is the word..very happy with purchase ♥️♥️♥️,Owsm",https://m.media-amazon.com/images/I/4150hW2kHwL._SX300_SY300_QL70_FMwebp_.jpg
B097R45BH8,"Bajaj New Shakti Neo 15L Vertical Storage Water Heater (Geyser 15 litres) 4 Star BEE Rated Heater For Water Heating with Titanium Armour, Swirl Flow Technology, Glasslined Tank (White), 1 Yr Warranty","Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|StorageWaterHeaters","₹5,499","₹13,150",58%,4.2,"6,398","Overall good performance,No things,Nice product,Good deal with Bajaj . It compact & less area coverage.,GOOD,Fast delivery,Not working,Quality product at affordable price",https://m.media-amazon.com/images/I/31U-ACCgQ1L._SX300_SY300_QL70_FMwebp_.jpg
B09X5C9VLK,"Lifelong LLMG23 Power Pro 500-Watt Mixer Grinder with 3 Jars (Liquidizing, Wet Grinding and Chutney Jar), Stainless Steel blades, 1 Year Warranty (Black)",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,"₹1,299","₹3,500",63%,3.8,"44,050","Overall satisfactory in this price range,Nothing,Noiselesss and good material quality,Pocket friendly,I like this product,Superb item.,Lifelong mixer,Best product by longlife",https://m.media-amazon.com/images/I/413sK6yat-L._SX300_SY300_QL70_FMwebp_.jpg
